statusId | label
1|test
statusId|sensorName|value|timestamp
1|K6DS3TR Gyroscope Sensor|[-0.22724187,-0.3481932,-0.018325957]|1477918467086
1|Gravity Sensor|[-0.7850222,4.279206,8.78877]|1477918467086
1|Linear Acceleration Sensor|[0.045191288,-0.07485914,-0.05206108]|1477918467086
1|YAS537 Magnetic Sensor|[9.7,-33.2,-27.5]|1477918467086
1|K6DS3TR Acceleration Sensor|[-0.7398309,4.2043467,8.736709]|1477918467086
1|K6DS3TR Acceleration Sensor|[-0.7326481,4.1971636,8.719949]|1477918467091
1|K6DS3TR Gyroscope Sensor|[-0.23335053,-0.34330627,-0.007330383]|1477918467090
1|K6DS3TR Gyroscope Sensor|[-0.2443461,-0.33841935,0.0]|1477918467095
1|Gravity Sensor|[-0.77040905,4.2687654,8.795138]|1477918467095
1|Linear Acceleration Sensor|[0.040155232,-0.06920767,-0.012938499]|1477918467095
